id_left	string_left
1089874	PCCW's chief operating officer, Mike Butcher, and Alex Arena, the chief financial officer, will report directly to Mr So.
3019446	The world's two largest automakers said their U.S. sales declined more than predicted last month as a late summer sales frenzy caused more of an industry backlash than expected.
1945605	According to the federal Centers for Disease Control and Prevention (news - web sites), there were 19 reported cases of measles in the United States in 2002.
1430402	A tropical storm rapidly developed in the Gulf of Mexico Sunday and was expected to hit somewhere along the Texas or Louisiana coasts by Monday night.
3354381	The company didn't detail the costs of the replacement and repairs.
1390995	The settling companies would also assign their possible claims against the underwriters to the investor plaintiffs, he added.
2201401	Air Commodore Quaife said the Hornets remained on three-minute alert throughout the operation.
2453843	A Washington County man may have the countys first human case of West Nile virus, the health department said Friday.
1756630	Moseley and a senior aide delivered their summary assessments to about 300 American and allied military officers on Thursday.
938878	The broader Standard & Poor's 500 Index <.SPX> was 0.46 points lower, or 0.05 percent, at 997.02.
2357153	Consumers would still have to get a descrambling security card from their cable operator to plug into the set.
2760337	The increase reflects lower credit losses and favorable interest rates.
3447768	The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.
173848	Hong Kong was flat, Australia , Singapore and South Korea lost 0.2-0.4 percent.
1756397	Evidence suggests two of the victims were taken by surprise, while the other two might have tried to flee or to defend themselves or the others, police said.
749900	Ballmer has been vocal in the past warning that Linux is a threat to Microsoft.
501917	A charter plane crashed in Turkey on Monday, killing all 75 people aboard, including 62 Spanish peacekeepers returning from Afghanistan, officials said.
356718	"""""""Moroccan Interior Minister Al Mustapha Sahel said the investigation """"""""points to a group that has been arrested recently"""""""", an apparent reference to Djihad Salafist."""""""
1083541	"""""""""""""""I'm delighted that David Chase has decided to give us another chapter in the great 'Sopranos' saga,"""""""" HBO chairman and chief executive Chris Albrecht said."""""""
1090263	The two had argued that only a new board would have had the credibility to restore El Paso to health.
666617	"""""""""""""""There's no reason for you to keep your skills up,"""""""" the judge told the convicted crack cocaine kingpin."""""""
2299642	"""""""Still, he said, """"""""I'm absolutely confident we're going to have a bill."""""""""""""""
2878218	"""""""""""""""Senator Clinton should be ashamed of herself for playing politics with the important issue of homeland security funding,"""""""" he said."""""""
1758014	Federal agents said yesterday they are investigating the theft of 1,200 pounds of an explosive chemical from construction companies in Colorado and California in the past week.
149718	Last year, Comcast signed 1.5 million new digital cable subscribers.
3018662	Schofield got Toepfer to admit on cross-examination that she ignored many of O'Donnell's suggestions and projects.
2444603	The man accused of using fake grenades to commandeer a Cuban plane that landed in Key West in April was sentenced Friday to 20 years in prison.
356716	Moroccan police have arrested 33 suspects, including some linked to the radical Djihad Salafist group, a government official said.
2535248	The son of circus trapeze artists turned vaudevillians, O'Connor was born on Aug. 28, 1925, in Chicago and was carried onstage for applause when he was three days old.
1811569	Ricky Clemons' brief, troubled Missouri basketball career is over.
956105	Dynes will get $395,000 a year, up from Atkinson's current salary of $361,400.
1558644	The daily Hurriyet said the raid aimed to foil a Turkish plot to kill an unnamed senior Iraqi official in Kirkuk.
659710	"""""""""""""""It was a little bit embarrassing the way we played in the first two games,"""""""" Thomas said."""""""
1268500	Against the Japanese currency, the euro was at 135.92/6.04 yen against the late New York level of 136.03/14.
197693	Snow's remark ``has a psychological impact,'' said Hans Redeker, head of foreign-exchange strategy at BNP Paribas.
2226418	The women said victims of rape who came forward routinely were punished for minor infractions while their assailants escaped judgment.
2191765	"""""""""""""""The National has no interest in acquiring AMP while AMP owns its UK business,"""""""" Cicutto added."""""""
2455974	"""""""In a statement, Mr. Rowland said: """"""""As is the case with all appointees, Commissioner Anson is accountable to me."""""""
816693	Oracle's $5 billion hostile bid for PeopleSoft is clearly not sitting well with PeopleSoft's executives.
198581	Taha is married to former Iraqi oil minister Amir Muhammed Rasheed, who surrendered to U.S. forces on April 28.
69590	Cisco pared spending during the quarter to compensate for sluggish sales.
2226059	Seven 20- and 21-year-old cadets were ticketed by police for drinking alcohol in an off-campus hotel room early Saturday with two young women, aged 16 and 18.
1012095	Dixon's win moved him into second place in the points standings, 49 behind Kanaan.
2320049	Last year, Congress passed similar, though less expensive, buyout legislation for peanut farmers, ending that Depression-era program.
1908431	On July 22, Moore announced he would appeal the case directly to the U.S. Supreme Court.
2594779	The broad Standard & Poor's 500 Index .SPX gained 19.72 points, or 1.98 percent, to 1,015.69.
173717	Thanks to the euro's rise against the Japanese currency, the dollar was at 117.24 yen, well above the overnight 10-month low of 116 yen.
2963161	Thursday afternoon, the Standard & Poor's 500-stock index was trading up just 1.48 points, or 0.1 percent, to 1,049.59.
2375809	"""""""""""""""They were chipping away at the concrete to get to the body,"""""""" said Chris Butler, who lives across the street."""""""
3298856	Nicholas is the uncle of Louima, the Haitian immigrant who was sexually tortured by NYPD cops in 1997.
3052031	The procedure is generally performed in the second or third trimester.
546923	"""""""""""""""Just sitting around in a big base camp, knocking back cans of beer, I don't particularly regard as mountaineering,"""""""" he added."""""""
1853823	She survives him as do their four children -- sons Anthony and Kelly, daughters Linda Hope and Nora Somers -- and four grandchildren.
3417894	It exploded in his hands, but the former Italian prime minister was unhurt.
3026089	The British Foreign Office said Monday that coalition authorities in Iraq were pleased that the men were freed.
1618799	Now, with the agency's last three shuttles grounded in the wake of the Columbia disaster, that wait could be even longer.
842299	ISRAELI soldiers knocked down empty mobile homes and water towers in 10 tiny West Bank settlement outposts overnight as part of a US-backed Mideast peace plan.
2795276	"""""""""""""""These documents are indecipherable to me, and the fact is that this investigation has led nowhere,"""""""" the lawyer said."""""""
2452146	The latest snapshot of the labor markets was slightly better than economists were expecting; they were forecasting claims to fall no lower than 410,000 for last week.
1596213	Another body was pulled from the water on Thursday and two seen floating down the river could not be retrieved due to the strong currents, local reporters said.
420631	Those reports were denied by the interior minister, Prince Nayef.
2597390	Other members of the organization are believed to be in Pakistani cities, and many of the arrests of key al-Qaida operatives have taken place in those areas.
